"rent_sta","lat","long"
"93","Taiwan Renai & Yanji Intersection",121.1564739,24.0400612
"94","Taiwan Xinsheng & Changchun Intersection",121.5276994,25.0605538
"95","Taiwan Wu Xing Bus Station.",121.569793,25.023208
"96","Taiwan N.T.U.S.T",121.5406792,25.0136906
"97","Taiwan Taipei Stadium",121.5514148,25.0495831
"98","Taiwan Shude Park",121.516319,25.066882
"99","Taiwan MRT Minquan W.Rd. Sta.(Exit 3)",121.519319,25.062905
"100","Taiwan Jinshen & Civic Blvd. Intersection",121.6367773,25.2223616
"101","Taiwan MRT Xihu Sta. (Exit 1)",121.567213,25.082133
"102","Taiwan Huajiang High School",121.4971355,25.0279587
"103","Taiwan Qingjiang Elementary School",121.50756,25.127336
"104","Taiwan MRT Zhongxiao Fuxing Sta.(Exit 2)",121.5508441,25.0414864
"105","Taiwan Citizen Square",NA,NA
"106","Taiwan Renai & Yixian Intersection",121.1564739,24.0400612
"107","Taiwan Zhouzhi Park No.2",NA,NA
"108","Taiwan Xinyi & Dunhua Intersection",121.5769572,25.0287024
"109","Taiwan Lishan Elementary School",121.572405,25.0835175
"110","Taiwan Xingan Huacheng Community",NA,NA
"111","Taiwan MRT Beimen Sta. (Exit.3)",121.5100212,25.048946
"112","Taiwan Xiangyang & Nangang Intersection",120.9925,23.2844444
"113","Taiwan MRT Houshanpi Sta.(Exit 1)",121.4590065,25.0616403
"114","Taiwan Hulu Elementary School",121.5082224,25.0841295
"115","Taiwan Yuanhuan",120.4771753,23.6741464
"116","Taiwan Lin An-tai Historical House",121.5303571,25.071749
"117","Taiwan Tienmu Sports Park",121.532537,25.11318
"118","Taiwan Taipei Medical University",121.561618,25.025354
"119","Taiwan Chengong Public Housing",121.5484688,25.0290215
"120","Taiwan MRT Nanjing Fuxing Sta. (Exit 5)",121.5448782,25.0517019
"121","Taiwan Dongxin Elementary School",121.603145,25.057645
"122","Taiwan JianGuo & Heping Intersection",121.5379054,25.0383484
"123","Taiwan Taipei Public Library",121.5063771,25.1365247
"124","Taiwan MinQuan Park",120.6806181,24.1374933
"125","Taiwan MRT Xingtian Temple Sta. (Exit 3)",121.5333259,25.0601986
"126","Taiwan Zhonglun High School",121.561104,25.048714
"127","Taiwan XinDong Park",NA,NA
"128","Taiwan Minsheng & Dunhua Intersection",121.536247,25.057651
"129","Taiwan Rongxing Park",121.5391412,25.0634668
"130","Taiwan Minquan & Fuxing Intersection",121.515679,25.0630612
"131","Taiwan NTU Information Bldg.",121.5409238,25.0210322
"132","Taiwan Examination Yuan",121.5492616,24.9879826
"133","Taiwan Zhongzheng & Jihe Intersection",121.5198716,25.0421407
"134","Taiwan Minsheng Activity Center",121.560935,25.058601
"135","Taiwan MRT Dahu Park Sta. (Exit 2)",121.6020793,25.0838684
"136","Taiwan MRT Yongchun Sta. (Exit 2)",121.5754037,25.0407438
"137","Taiwan Wenhu Elementary School",121.56021,25.086
"138","Taiwan Jiuzhuang Recreation Center",NA,NA
"139","Taiwan Taipei JingMei Girls High School",121.5561748,24.9807371
"140","Taiwan Bade Market",121.571502,25.049962
"141","Taiwan MRT Xiaonanmen Sta. (Exit 1)",121.510857,25.035546
"142","Taiwan Nanchang Park",121.5203177,25.0270313
"143","Taiwan Yucheng Park",121.5855774,25.0420817
"144","Taiwan University of Taipei",121.5406792,25.0136906
"145","Taiwan Zenhua Park",103.7737743,1.3860273
"146","Taiwan Lanya Park",121.5298742,25.1097423
"147","Taiwan Taihe Park",NA,NA
"148","Taiwan Songshan Vocational High School",121.5655714,25.0435287
"149","Taiwan Jiang Wei-shui Memorial Park",121.516843,25.0597689
"150","Taiwan Xingfong Park",120.9981183,24.8785466
"151","Taiwan Longjiang & Nanjing Intersection",NA,NA
"152","Taiwan Jiantan Community",121.5248945,25.084976
"153","Taiwan MRT Zhishan Sta.(Exit 2)",121.5225139,25.1030598
"154","Taiwan Beitou Sports Center",121.509768,25.1164729
"155","Taiwan Lanxing Park",121.5229999,25.1104007
"156","Taiwan University of Taipei Tianmu Campus",121.5365794,25.1161421
"157","Taiwan Linyun Market",NA,NA
"158","Taiwan Kaifong & Xining Intersection",121.5124524,25.0460502
"159","Taiwan Minsheng & Guangfu Intersection",121.536247,25.057651
"160","Taiwan Jianguo & Nongan Intersection",121.5379054,25.0383484
"161","Taiwan Jianguo & Changchun Intersection",121.5379054,25.0383484
"162","Taiwan MRT Taipei Arena Sta. (Exit 5)",121.5531032,25.0517772
"163","Taiwan Xinsheng & Changan Intersection",121.5276994,25.0605538
"164","Taiwan Civic Blvd Linsen Intersection",121.5399124,25.0446819
"165","Taiwan Emei Parking Lot",121.5055855,25.0443421
"166","Taiwan MRT Gangqian Sta. (Exit 2)",121.5758912,25.0796551
"167","Taiwan Ruiguang & Gangqian Intersection",121.5754364,25.0760766
"168","Taiwan Yongle Market",121.5103146,25.0544482
"169","Taiwan NTNU Gongguan Campus",121.5359759,25.0081215
"170","Taiwan Wolong & Leye Intersection",NA,NA
"171","Taiwan Jinshan & Aiguo Intersection",121.6367773,25.2223616
"172","Taiwan Dunhua & Keelung Intersection",120.3010859,22.6470616
"173","Taiwan Raohe Night Market",121.5775254,25.0509541
"174","Taiwan MRT Taipei Zoo Sta.(Exit 2)",121.5794887,24.9981742
"175","Taiwan MRT Huzhou Sta. (Exit 1)",121.6070809,25.0728024
"176","Taiwan Taipei Pot Plant Auction",121.5407369,25.0041338
"177","Taiwan Taipei City Hakka Cultural Park",121.5253585,25.0202507
"178","Taiwan Xinyi & Lianyun Intersection",121.5769572,25.0287024
"179","Taiwan Taipei Municipal Shezi Elementary School",121.5027273,25.089958
"180","Taiwan Nat’l Chengchi U.",121.5756198,24.9864564
"181","Taiwan Taipei Botanical Garden",121.508655,25.0310042
"182","Taiwan Sanmin Park",121.567903,25.061969
"183","Taiwan MRT Dazhi Sta. (Exit 3)",121.546894,25.079476
"184","Taiwan Nangang Park",121.5921317,25.0457002
"185","Taiwan Fushun Park",121.5220355,25.0646142
"186","Taiwan Lanya Elementary School",121.523121,25.108283
"187","Taiwan Donghu Junior High School",121.6194218,25.0721649
"188","Taiwan MRT Nangang Software Park Sta.(Exit 2)",121.615952,25.059904
"189","Taiwan Xiyuan & Bangka Intersection",NA,NA
"190","Taiwan MRT Donghu Sta.",121.6116271,25.0675213
"191","Taiwan Xinhu Elementary School",121.5885493,25.0682258
"192","Taiwan Fulin Park",121.5290357,25.0948074
"193","Taiwan TWTC Exhibition Hall 3",121.5644922,25.035669
"194","Taiwan Dadaocheng Park",121.5103463,25.0586103
"195","Taiwan Fuhua Market",120.2459585,23.0093874
"196","Taiwan Donghu Elementary School",121.6160979,25.0692592
"197","Taiwan Huaxi Park",121.4987777,25.0386499
"198","Taiwan Fu-an Junior Hight School",121.4878824,25.1032614
"199","Taiwan Fuhua Garden New Village(City)",NA,NA
"200","Taiwan Nat’l Defense U.",121.3030591,24.9347793
"201","Taiwan Lequn 2nd & Jingye 4th Intersection",121.5563653,25.079988
"202","Taiwan Nangang Elementary School",121.6105787,25.0571037
"203","Taiwan MRT Fuxinggang Sta.",121.4854519,25.1375116
"204","Taiwan Civic & Taiyuan Intersection",NA,NA
"205","Taiwan Yanping Public Housing",-95.9903977,36.1661994
"206","Taiwan Heti Elementary School",121.5222201,25.0229121
"207","Taiwan Jihe First Phase Republic Housing",74.1386767,17.6242922
"208","Taiwan MRT Wende Sta. (Exit 2)",121.5849812,25.0786084
"209","Taiwan MRT Muzha Sta.",121.573145,24.99824
"210","Taiwan Xingyun & Jinhu Intersection",NA,NA
"211","Taiwan Dongyang Park",120.957737,23.4698853
"212","Taiwan MRT Jingmei Sta.",121.5408458,24.9935037
"213","Taiwan Mucha Guanghui Intersection",NA,NA
"214","Taiwan Taipei Flowers Auction",121.5743047,25.0626295
"215","Taiwan Peiying Park",NA,NA
"216","Taiwan Bei'an & Dazhi Intersection",121.5415678,25.0777783
